,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,100.0,22.65762830014186,36.944507429572816,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1354,131,130,10.0,9.930997092820348,10.0,10.0,5.263157894736842,99.74180511899415,84.26544862293507,91.35278945688898,11.774600263642604,66.16264006629916,19.991435053895472
1,100.0,23.129850569565438,37.56985079178281,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1294,135,134,10.76923076923077,10.698159185860945,10.76923076923077,10.76923076923077,5.691056910569105,99.75542784163474,83.69317714898466,91.02111945031808,12.624641055663172,66.77625044105196,21.23467827552609
2,68.15476190476191,100.0,81.06194690265487,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1,1,135,2.976190476190476,0.0,2.976190476190476,2.976190476190476,1.5105740181268883,68.15476190476191,100.0,81.06194690265487,2.689629239031883e-15,100.0,5.379258478063766e-15
3,100.0,23.105984938713192,37.53836168114202,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1359,135,134,10.256410256410255,10.188445146268565,10.256410256410255,10.256410256410255,5.405405405405405,99.74724111866968,84.46331143655334,91.47122327878058,12.060684532777003,66.59197267669177,20.42257193498091
4,100.0,23.39386675147286,37.91738984659645,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1294,133,132,10.615384615384615,10.544190494802063,10.615384615384615,10.615384615384615,5.605199025182778,99.76253024989323,84.29011593250982,91.37597763359935,12.462487575866204,66.72229817708495,21.00216106309718
5,100.0,23.434777473304642,37.97110984928523,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1318,133,132,10.42296072507553,10.352950176609266,10.42296072507553,10.42296072507553,5.49800796812749,99.75402249299472,83.49162945310228,90.90121150477796,12.333117794886572,66.79294627968025,20.82159106406525
6,100.0,21.518144070520155,35.41552454591903,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1299,128,127,10.191570881226053,10.120322623297618,10.191570881226053,10.191570881226053,5.369398465886153,99.73536156143345,84.10615289235948,91.25640194145616,11.894348734636432,65.85189637480522,20.14927972962524
7,99.67673753574536,39.917823458281646,57.006209747951544,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1150,127,140,22.24669603524229,22.093743012052492,22.24669603524229,22.24669603524229,12.51548946716233,96.76547999859393,82.6095407449754,89.12893032167108,27.854533177613668,77.89316896030539,41.03498828342464
8,100.0,22.493913734646785,36.72658183389318,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1358,133,132,10.117302052785924,10.049180054510643,10.117302052785924,10.117302052785924,5.328185328185328,99.7522354009003,84.43249319176014,91.45524713914843,11.875148486886529,66.28780652951345,20.141959710781528
9,65.8179012345679,100.0,79.38576081898557,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': MLPClassifier(activation='relu', alpha=0.001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(7,), learning_rate='constant',
              learning_rate_init=0.4, max_fun=15000, max_iter=100, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=None, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=False, warm_start=False), 'kernel': 'kinematic'}",1,1,132,3.0864197530864197,0.0,3.0864197530864197,3.0864197530864197,1.5673981191222568,65.8179012345679,100.0,79.38576081898557,-3.6776960614861466e-15,100.0,-7.355392122972293e-15
